Sample_code,Method,Spike,Water_type,Volume,Replicate,N1_Rec%,Flu-A_Rec%,Flu-B_Rec%,Phi6_Rec%,NoVGII_Rec%,MeV_Rec%,RoV_Rec%,MNV Rec%,CrAss_Rec%,AdV_Rec%,PMMoV_Rec%
AS_20_S_DW,AS,S,DW,15,1,18.84303899,14.70154708,9.991250221,22.67014969,22.12726641,15.30930709,7.051042098,23.99766654,,,
AS_20_S_DW,AS,S,DW,15,2,13.73530669,14.9709482,9.868819422,20.23458357,19.40707962,14.60947222,7.754979081,22.61922652,,,
AS_20_S_DW,AS,S,DW,15,3,20.56310921,16.65248062,11.4320469,24.77093552,24.26636877,12.92030836,7.903956728,28.77294037,,,
AS_200_S_DW,AS,S,DW,150,1,4.443155753,4.554439204,2.657315566,6.127215947,6.528764337,4.188534052,1.776521127,6.474685293,0.536254805,,
AS_200_S_DW,AS,S,DW,150,2,4.667612358,5.426283911,3.341807695,7.569994827,14.88192738,3.994507828,2.00476403,8.421116444,0.388099697,,
AS_200_S_DW,AS,S,DW,150,3,4.342271537,4.477473441,2.658143627,5.94432892,6.892927709,4.493250382,2.01498975,4.86142153,3.564382881,,
AS_50_S_DW,AS,S,DW,37.5,1,4.787802678,5.049812947,3.099792192,7.41874543,0.838533449,3.234496662,2.835288235,3.42275196,,,
AS_50_S_DW,AS,S,DW,37.5,2,7.710800566,7.231631807,4.796377958,10.90110315,7.147662326,8.120809403,4.817788167,11.63268121,,,
AS_50_S_DW,AS,S,DW,37.5,3,7.451408541,7.452520291,4.897777514,11.70391748,5.907545425,7.254780058,3.725985596,10.72825696,,,
BE-PEG_20_S_DW,BE-PEG,S,DW,15,1,15.70223283,15.90810158,15.07627147,12.21387484,29.67361842,12.83321941,6.612812685,17.80175487,,,
BE-PEG_20_S_DW,BE-PEG,S,DW,15,2,25.40198739,27.05596707,25.75137291,23.9695841,62.53843282,18.91406873,12.7679952,30.43648611,,,
BE-PEG_20_S_DW,BE-PEG,S,DW,15,3,32.98296836,31.90037363,30.20854875,29.23023166,72.5148155,23.43565981,21.05288835,35.25700487,5.753743489,,
BE-PEG_200_S_DW,BE-PEG,S,DW,150,1,12.96287468,12.26946397,8.426864665,16.25152192,38.14514257,9.861620949,8.846725846,11.22371517,3.371804087,,
BE-PEG_200_S_DW,BE-PEG,S,DW,150,2,10.91487458,7.995794294,5.476273091,12.22835645,24.59701723,8.097121259,5.77645885,6.971171885,1.618731769,,
BE-PEG_200_S_DW,BE-PEG,S,DW,150,3,11.24926728,9.405459943,6.016344518,12.2401155,27.44462265,8.071707919,6.202967608,5.817151603,1.740830583,,
BE-PEG_50_S_DW,BE-PEG,S,DW,37.5,1,21.51265928,2.800008496,1.626100861,21.91931854,54.32080159,17.19725041,12.70938239,16.52130119,3.674299296,,
BE-PEG_50_S_DW,BE-PEG,S,DW,37.5,2,24.31463245,22.38805177,20.79949493,24.82476034,57.70713051,20.54725585,14.06324384,18.10799283,2.381707229,,
BE-PEG_50_S_DW,BE-PEG,S,DW,37.5,3,29.07065487,1.632387553,0.812635484,31.63799945,84.02528003,26.60882479,23.53143657,28.65525814,5.091635789,,
Pellet_BE_PEG_50_S_DW,Pellet_BE,S,DW,50,1,2.902166852,2.100006372,1.219575646,1.068124994,1.098766384,2.143805705,1.220751179,1.253148326,,,
